product_code,product_name,brands,categories_tags,nutriscore_grade,nova_group,off_source_sha256,off_acquired_at,off_last_modified_t,off_history_status
00204682,Milk Chocolate Bar,Trader Joe's,"[""en:snacks"", ""en:sweet-snacks"", ""en:cocoa-and-its-products"", ""en:chocolates"", ""en:milk-chocolates"", ""en:milk-chocolate-bar""]",e,3.0,c64b3fc5e4c20ce3b513d48a0f725676c218dd586bcb90145d0bebe95a4a40f9,2026-09-06T22:55:16.858176+00:00,1788023569,NO_VERIFICABLE_HISTORICAMENTE
0021130306022,Entertaining Crackers Wheat,Signature SELECT,"[""en:snacks"", ""en:sweet-snacks"", ""en:biscuits-and-cakes""]",d,4.0,029e122e3be26b29601c3487f8bb4600690da9766b096e26435b7006887be8e8,2026-09-06T22:55:22.090295+00:00,1780606610,NO_VERIFICABLE_HISTORICAMENTE
0021130494859,Traditional pasta sauce,,"[""en:condiments"", ""en:sauces"", ""en:Groceries""]",a,3.0,86e7f3a3babcfb308826d3e0ec333046f5adc347ac8312bf9121b03d6ab78c92,2026-09-06T22:55:27.278151+00:00,1587659756,NO_VERIFICABLE_HISTORICAMENTE
0021500042178,Steak chop marinade,"Lawry's, Mccormick & Co  Inc.","[""en:condiments"", ""en:Groceries""]",unknown,4.0,ebbae8c996be59f3d148b94f0d6212e5302a8331f8913159b2e078394845fb73,2026-09-06T22:55:32.644208+00:00,1785160540,NO_VERIFICABLE_HISTORICAMENTE
0034500420686,Extra Sharp Cheddar Cheese,Land O Lakes,"[""en:Cheese Blocks""]",e,4.0,9ff48e577c797b812aa10774c39d0afb3747737e32375d9ec58650e54051964a,2026-09-06T22:55:37.827808+00:00,1768185160,NO_VERIFICABLE_HISTORICAMENTE
0048500205723,No Calcium OJ,Tropicana,"[""en:beverages-and-beverages-preparations"", ""en:plant-based-foods-and-beverages"", ""en:beverages"", ""en:plant-based-beverages"", ""en:fruit-based-beverages"", ""en:juices-and-nectars"", ""en:fruit-juices"", ""en:variety-packs"", ""en:orange-juices"", ""en:beverage-variety-packs""]",c,1.0,dd7c81fdc1297c5639c630a74444ec2ddd2ea16c4cd28ab6b360706b5956af4f,2026-09-06T22:55:43.031158+00:00,1786474142,NO_VERIFICABLE_HISTORICAMENTE
0290054000006,Ground Pork,Whole Foods Market,,unknown,,db5b35e819a099b822960ad463bf2ed980ae35aa55aece015834db67356a0d84,2026-09-05T19:37:33.632731+00:00,1726432513,NO_VERIFICABLE_HISTORICAMENTE
0796252300295,"Lassi Yogurt Drink, Mango",Gopi,"[""en:beverages-and-beverages-preparations"", ""en:beverages"", ""en:dairies"", ""en:fermented-foods"", ""en:fermented-milk-products"", ""en:dairy-drinks"", ""en:fermented-drinks"", ""en:fermented-milk-drinks"", ""en:lassi""]",unknown,4.0,b9c1a7020fb92a32dd7da45f4f8319885d9df52dbc6e9d22b22355cd68e7e898,2026-09-06T22:55:48.204951+00:00,1780500088,NO_VERIFICABLE_HISTORICAMENTE
2000000152949,Bazim khamosh choco popcorn,Bazim khamosh,"[""en:Child-and-parents"", ""en:healthy""]",a,,5687e94ec6e65d52b447957b81bf082365c32eb2974cc389ef4954113daa4f89,2026-09-06T22:55:58.454061+00:00,1774555207,NO_VERIFICABLE_HISTORICAMENTE
2006050027217,Amandes grillées,Trader Joe's,"[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:nuts-and-their-products"", ""en:nuts"", ""en:almonds"", ""en:shelled-nuts"", ""en:shelled-almonds"", ""en:roasted-almonds"", ""en:unsalted-almonds"", ""en:whole-almonds"", ""en:almonds-roasted-and-unsalted""]",unknown,1.0,25ebe2c0664dc0fc8864070dfad6367cc162c91b9b304e971c8569662b6e7b92,2026-09-06T22:56:03.778423+00:00,1788371362,NO_VERIFICABLE_HISTORICAMENTE
2006050063055,Pistaches de californie grillées,TRADUCTION JOES,"[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:snacks"", ""en:salty-snacks"", ""en:nuts-and-their-products"", ""en:nuts"", ""en:pistachios"", ""en:roasted-pistachios"", ""en:salted-nuts"", ""en:salted-pistachios"", ""en:unsalted-pistachios""]",a,3.0,985f87620375ca54d57583808134f9610ba96d1b751e0ca789e2061b979d1940,2026-09-06T22:56:08.941173+00:00,1774508161,NO_VERIFICABLE_HISTORICAMENTE
3019089042228,Rilettes de thon,Petit Navire,"[""en:seafood"", ""en:fishes-and-their-products"", ""en:fishes"", ""en:spreads"", ""en:fatty-fishes"", ""en:salted-spreads"", ""en:rillettes"", ""en:tunas"", ""en:fish-preparations"", ""en:fish-rillettes"", ""en:tuna-preparations"", ""en:tuna-rillettes""]",b,4.0,93fb7c44d4b195f9d413ab31e4a27740bd30a9145da7f06004d0449b96b9eadc,2026-09-06T22:56:14.270975+00:00,1774494952,NO_VERIFICABLE_HISTORICAMENTE
3023260027607,La tomme de brebis,Lou Pérac,"[""en:dairies"", ""en:fermented-foods"", ""en:fermented-milk-products"", ""en:cheeses"", ""en:mountain-products"", ""en:french-cheeses"", ""en:mountain-cheeses"", ""en:sheep-s-milk-cheeses"", ""en:tomme-cheese-from-cow-s-milk"", ""fr:tomme-de-brebis""]",d,4.0,3eac23547f8e3047f8416fa80c7936a359b0788079a3551c2fbc7c308e4f9a07,2026-09-05T19:37:18.901022+00:00,1781156159,NO_VERIFICABLE_HISTORICAMENTE
3033491279294,Danette double saveur vanille & chocolat,Danone,"[""en:dairies"", ""en:desserts"", ""en:dairy-desserts"", ""en:entremets-mousses-and-creamy-puddings"", ""en:chocolate-desserts"", ""en:creamy-puddings"", ""en:chocolate-creamy-puddings"", ""en:refrigerated-chocolate-creamy-puddings"", ""en:Crèmes dessert vanille chocolat""]",c,4.0,9337b9a8f828d3fea0132867547feb3b4db77b28595412f789507994a62bf174,2026-09-06T22:56:19.683954+00:00,1773985823,NO_VERIFICABLE_HISTORICAMENTE
3033491350795,Activia bifidus saveur citron,Danone,"[""en:dairies"", ""en:fermented-foods"", ""en:fermented-milk-products"", ""en:desserts"", ""en:dairy-desserts"", ""en:fermented-dairy-desserts"", ""en:flavoured-fermented-dairy-desserts"", ""en:bifidus-yogurts"", ""en:flavoured-bifidus-yogurts""]",c,4.0,a42b5e3e00b24cab9b5c2abab905e3136c816253190a5e911a7c1092dcc19d9d,2026-09-06T22:56:25.042537+00:00,1785397863,NO_VERIFICABLE_HISTORICAMENTE
3033491451652,"Le petit suisse gervais nature 9,5 % 60 g x 12",GERVAIS,"[""en:dairies"", ""en:fermented-foods"", ""en:fermented-milk-products"", ""en:desserts"", ""en:dairy-desserts"", ""en:fermented-dairy-desserts"", ""en:fromages-blancs-petit-suisses-and-skyr"", ""en:petits-suisses"", ""en:plain-fermented-dairy-desserts"", ""en:plain-petit-suisse"", ""fr:fromages-blancs""]",c,1.0,4f4f349aabb1015eafbf3f0f76a06dc782c3b0cb841cf9095ed4cf9c1f2e1ec0,2026-09-05T19:37:13.847004+00:00,1788543018,NO_VERIFICABLE_HISTORICAMENTE
3038353911909,Quenelles de brochet sauce Nantua,Petitjean,"[""en:canned-foods"", ""en:meals"", ""en:canned-meals"", ""en:meals-with-fish"", ""fr:quenelles"", ""en:fish-quenelles"", ""en:fish-quenelle-in-sauce"", ""en:pike-quenelles""]",c,4.0,f713a2cd4d3b4ebb3c936eb81b23522946973d2ee987128fbcd7a3779bc34b1c,2026-09-06T22:56:30.356241+00:00,1773416645,NO_VERIFICABLE_HISTORICAMENTE
3038359004544,Sauce Tomate concentrée cuisinée aux petits légumes,"Panzani, panzani","[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:fruits-and-vegetables-based-foods"", ""en:vegetable-based-foods-and-beverages"", ""en:condiments"", ""en:vegetables-based-foods"", ""en:tomatoes-and-their-products"", ""en:sauces"", ""en:tomato-sauces"", ""en:meal-kits""]",d,4.0,1525ef9c4b93a3b937a69eaec8f574478094d6ae7f1cef983e3d35932dc3445a,2026-09-06T22:56:35.694423+00:00,1787478069,NO_VERIFICABLE_HISTORICAMENTE
3045320517699,Crème caramel aux œufs frais,Bonne Maman,"[""en:dairies"", ""en:desserts"", ""en:dairy-desserts"", ""en:custard-puddings"", ""en:custard-puddings-with-caramel-sauce"", ""fr:desserts-lactes-aux-oeufs""]",d,3.0,aafd046f21607968a416dd3ed65c6f362f3319d9a03fce139c23db77bed4e9f1,2026-09-06T22:56:40.992922+00:00,1782919727,NO_VERIFICABLE_HISTORICAMENTE
3123930711758,L'Emmental Français Extra fin,EntreMont,"[""en:dairies"", ""en:fermented-foods"", ""en:fermented-milk-products"", ""en:cheeses"", ""en:cow-cheeses"", ""en:hard-cheeses"", ""en:emmentaler"", ""en:french-cheeses"", ""en:french-emmentaler"", ""en:grated-cheese"", ""en:grated-emmentaler""]",c,3.0,6e5801a73a0beaf7124302ab324b558e0d22794a5ad8e97b5d3c4c48ef89ff5f,2026-09-05T19:36:08.642901+00:00,1786571438,NO_VERIFICABLE_HISTORICAMENTE
3165959213028,Saupiquet - Thon à la Catalane,Saupiquet,"[""en:seafood"", ""en:fishes-and-their-products"", ""en:canned-foods"", ""en:fishes"", ""en:fatty-fishes"", ""en:meals"", ""en:canned-fishes"", ""en:tunas"", ""en:meals-with-fish"", ""en:tuna-in-catalan-style""]",c,4.0,211e36bf2792ead092a9301b7f45bcdb8033e2dc0fc9a4c394665ad8fbd7fb7d,2026-09-06T22:56:56.295961+00:00,1779304745,NO_VERIFICABLE_HISTORICAMENTE
3183811008117,Olive noire fromage de chèvre,Marius Bernard,"[""en:spreads"", ""en:salted-spreads""]",d,3.0,875e5c0a681fe65d6cbed50d96ab72617d082823628cc689b523cc663d376db4,2026-09-06T22:57:01.625345+00:00,1774316425,NO_VERIFICABLE_HISTORICAMENTE
3220035229611,Cassonade,"Saint louis, Saint-Louis","[""en:sweeteners"", ""en:sugars"", ""en:brown-sugars"", ""en:cane-sugars"", ""fr:cassonades""]",e,2.0,2d886b3652dcce1dc85336eb81d739ae10e498acf96c7600c57c78eb69bcf61f,2026-09-05T19:36:28.786097+00:00,1787997987,NO_VERIFICABLE_HISTORICAMENTE
3220035570003,Sachet Sucre Cristal blanc de Betterave Bio 1kg,"SAINT-LOUIS, Saint louis","[""en:sweeteners""]",e,3.0,fe0d85b923ed8cc5ab0b4b170fb967f64a6c15175eec3023d52e0fe1559a1b2b,2026-09-05T19:37:08.775117+00:00,1780999612,NO_VERIFICABLE_HISTORICAMENTE
3222471055113,Ratatouille à la provençale,Casino,"[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:canned-foods"", ""en:meals"", ""en:prepared-vegetables"", ""en:canned-meals"", ""en:ratatouille"", ""fr:Légumes en conserve et bocal""]",a,4.0,0ff927686f202acd17f237c6d0bced14a9c27c80c5186c9fb1f4ce12a12516ef,2026-09-06T22:57:07.177192+00:00,1773978824,NO_VERIFICABLE_HISTORICAMENTE
