price_id,price_type,product_code,category_tag,price,currency,date
1,PRODUCT,1541513213246,,27.700,EUR,2023-11-27
2,PRODUCT,1541513213253,,27.700,EUR,2023-11-27
3,PRODUCT,1541513213260,,26.380,EUR,2023-11-27
4,PRODUCT,1541513213277,,39.570,EUR,2023-11-27
5,PRODUCT,1541513213284,,59.360,EUR,2023-11-27
6,PRODUCT,1541513213291,,46.170,EUR,2023-11-27
7,PRODUCT,1541513213307,,11.870,EUR,2023-11-27
8,PRODUCT,1541513213314,,9.890,EUR,2023-11-27
9,PRODUCT,1541513213338,,7.650,EUR,2023-11-27
10,PRODUCT,1541513213345,,3.300,EUR,2023-11-27
