price_id,type,product_code,price,currency,country,city,proof_id,product_name,total_vista
1,PRODUCT,1541513213246,27.700,EUR,France,Grenoble,9880,,307183
2,PRODUCT,1541513213253,27.700,EUR,France,Grenoble,9880,,307183
3,PRODUCT,1541513213260,26.380,EUR,France,Grenoble,9880,,307183
4,PRODUCT,1541513213277,39.570,EUR,France,Grenoble,9880,,307183
5,PRODUCT,1541513213284,59.360,EUR,France,Grenoble,9880,,307183
6,PRODUCT,1541513213291,46.170,EUR,France,Grenoble,9880,,307183
7,PRODUCT,1541513213307,11.870,EUR,France,Grenoble,9880,,307183
8,PRODUCT,1541513213314,9.890,EUR,France,Grenoble,9880,,307183
9,PRODUCT,1541513213338,7.650,EUR,France,Grenoble,9880,,307183
10,PRODUCT,1541513213345,3.300,EUR,France,Grenoble,9880,,307183
